School Name,Street Address,ZIP,Average Score ACT 2012,5-Year Cohort Graduation Rate 2012 - Percent,One-Year Dropout Rate 2012 - Percent,Freshman On-Track to Graduate 2012 - Percent,College Eligibility 2012 - Percent,College Enrollment 2012 - Percent,College Retention 2010 - Percent,Misconducts Resulting in Suspensions 2012 - Percent,Average Days of Suspension 2012,Student Attendance 2012 - Percent,Teacher Attendance 2012 - Percent,X Coordinate,Y Coordinate,Longitude,Latitude,Location
Chicago Academy High School,3400 N Austin Ave,60634,19.3,71,4,82.2,35.2,75.8,71,4.5,2.6,93.6,95.6,1135740.091,1922002.941,-87.77650575,41.94215439,"(-87.77650575, 41.94215439)"
Austin Business and Entrepreneurship Academy HS,231 N Pine Ave,60644,14.1,54.4,6.9,,,54.1,47.7,28.3,2.5,73,94.3,1139494.763,1901274.258,-87.76321191,41.88520477,"(-87.76321191, 41.88520477)"
Alcott High School for the Humanities,2957 N Hoyne Ave,60618,18,,1.8,82.6,,,,31.3,2.6,92.2,,1161870.556,1919857.44,-87.68052441,41.93576106,"(-87.68052441, 41.93576106)"
William Jones College Preparatory High School,606 S State St,60605,25.1,87.1,1.5,98,80.7,92.2,90.8,10.6,4.5,93.9,95.3,1176412.354,1897618.088,-87.62775497,41.87441898,"(-87.62775497, 41.87441898)"
Neal F Simeon Career Academy High School,8147 S Vincennes Ave,60620,16.9,73.5,4.6,66.7,11,77.2,70,97.3,4,80.6,94.6,1174719.074,1850730.192,-87.63537,41.74579217,"(-87.63537, 41.74579217)"
Roberto Clemente Community Academy High School,1147 N Western Ave,60622,15,52,1.3,92.6,13.5,43.1,51.4,77.2,5,78.7,95.5,1160235.206,1907768.877,-87.68686934,41.90262318,"(-87.68686934, 41.90262318)"
Edward Tilden Career Community Academy HS,4747 S Union Ave,60609,13.5,33.9,12.6,58.6,8.2,30.2,54.7,38.7,4.2,71.2,94.1,1172475.474,1873203.826,-87.64292985,41.80751207,"(-87.64292985, 41.80751207)"
Hyde Park Academy High School,6220 S Stony Island Ave,60637,16,53.3,13.9,60.5,12.9,65.1,70.9,92.9,3.2,67.7,94.2,1187898.897,1864121.427,-87.58665115,41.78223539,"(-87.58665115, 41.78223539)"
Carl Schurz High School,3601 N Milwaukee Ave,60641,15.5,64.6,4.8,66,15.5,40.7,62.1,87.1,1.7,82,95.2,1146851.198,1923627.843,-87.73562542,41.94640794,"(-87.73562542, 41.94640794)"
Thomas Kelly High School,4136 S California Ave,60632,16.8,73.9,5.5,63.5,23.5,54.9,71,55.5,3.8,88.5,95,1158337.786,1877175.576,-87.69467483,41.81871101,"(-87.69467483, 41.81871101)"
